open time	open	high	low	close	volume	number of trades
2019-01-01	131.45	140.67	130.0	139.1	401776.9	125799
2019-01-02	139.1	155.37	137.76	152.01	941486.3	253070
2019-01-03	152.01	153.64	143.11	146.3	708091.3	206600
2019-01-04	146.3	154.8	143.54	151.97	805248.9	224385
2019-01-05	152.08	159.26	151.2	152.83	773169.1	231172
2019-01-06	152.83	157.4	147.51	153.86	627908.5	204337
2019-01-07	153.89	155.48	147.86	149.34	424765.3	157568
2019-01-08	149.29	151.65	145.2	147.6	441661.1	170585
2019-01-09	147.62	151.5	146.77	148.1	299443.6	125358
2019-01-10	148.11	149.45	121.0	124.95	871751.8	290765
2019-01-11	124.96	127.36	120.08	124.65	545294.0	197047
2019-01-12	124.67	126.19	122.0	123.35	300262.1	122024
2019-01-13	123.35	124.25	111.87	114.16	422562.0	137005
2019-01-14	114.17	130.05	113.94	126.95	546420.4	181074
2019-01-15	126.95	129.4	116.0	118.95	649020.5	200989
2019-01-16	118.93	126.88	118.52	121.48	513486.7	192912
2019-01-17	121.49	122.99	116.8	121.54	447535.2	169098
2019-01-18	121.56	121.98	117.66	119.17	235646.7	112833
2019-01-19	119.16	125.29	119.14	122.6	323303.8	117187
2019-01-20	122.61	123.32	115.68	117.47	451792.9	164941
2019-01-21	117.56	118.5	113.61	115.63	303632.9	119538
2019-01-22	115.62	119.49	111.39	117.81	359542.6	134797
2019-01-23	117.8	118.95	114.8	116.44	230247.6	102993
2019-01-24	116.4	117.15	113.61	116.39	216242.3	90622
2019-01-25	116.4	117.5	114.3	115.11	198617.1	85660
2019-01-26	115.13	118.0	115.0	115.34	146216.8	68368
2019-01-27	115.32	116.15	111.04	112.05	247369.6	97152
2019-01-28	112.04	112.87	100.91	105.5	566205.8	177547
2019-01-29	105.49	106.61	102.22	104.45	319768.9	129221
2019-01-30	104.41	109.8	103.45	108.29	330968.2	118866
2019-01-31	108.29	110.61	105.46	106.44	290679.6	102532
2019-02-01	106.47	108.35	103.77	106.73	243149.9	86314
2019-02-02	106.71	111.15	106.07	110.42	186908.8	67351
2019-02-03	110.41	111.11	105.82	107.36	227211.5	78309
2019-02-04	107.33	109.3	106.57	107.68	160850.1	65698
2019-02-05	107.65	108.18	106.47	107.27	159730.2	68422
2019-02-06	107.28	107.83	101.21	104.5	337204.3	113955
2019-02-07	104.49	106.18	103.82	104.48	147942.1	68959
2019-02-08	104.48	123.0	103.41	119.25	589950.6	177364
2019-02-09	119.32	121.99	117.64	119.19	328068.0	118457
2019-02-10	119.19	126.49	115.81	125.12	385819.1	146060
2019-02-11	125.12	125.28	119.24	120.89	389405.3	129000
2019-02-12	120.88	123.89	118.18	122.41	343765.7	114396
2019-02-13	122.4	126.47	120.7	121.86	317827.3	122122
2019-02-14	121.86	124.5	120.1	120.42	297205.8	101574
2019-02-15	120.47	124.25	120.19	121.67	255296.1	100464
2019-02-16	121.66	124.99	121.54	122.67	215320.7	84959
2019-02-17	122.67	135.61	122.43	133.75	614788.6	162769
2019-02-18	133.77	148.3	132.42	145.69	1079830.2	299772
2019-02-19	145.69	150.0	142.36	143.44	747968.9	232384
2019-02-20	143.45	149.52	139.6	148.44	614303.6	191505
2019-02-21	148.42	149.61	142.7	145.69	447364.4	148898
2019-02-22	145.68	148.85	143.85	147.36	366251.2	129247
2019-02-23	147.4	159.6	145.78	157.79	588183.7	172084
2019-02-24	157.75	166.0	131.7	132.1	1260506.8	351943
2019-02-25	132.1	141.55	131.89	137.87	801147.1	243536
2019-02-26	137.88	138.41	133.72	136.22	432944.2	145787
2019-02-27	136.22	140.29	126.84	135.02	567202.6	158709
2019-02-28	135.03	139.0	132.1	135.34	579327.3	183737
2019-03-01	135.32	137.95	134.9	135.32	302632.0	103403
